Name,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price
Toyota,Altis Corolla,Kolkata,2011,45000,Diesel,Manual,First,21.43,1364.0,87.2,5.0,0
Volkswagen,1.2L Highline Polo,Coimbatore,2018,22987,Petrol,Manual,First,16.47,1198.0,73.9,5.0,0
Hyundai,Era i10,Jaipur,2009,48725,Petrol,Manual,First,19.81,1086.0,68.05,5.0,0
Hyundai,1.2 Grand Kappa Sportz i10,Hyderabad,2013,42500,Petrol,Manual,First,18.9,1197.0,81.86,5.0,1
Hyundai,1.6 SX VTVT Verna,Mumbai,2014,35000,Petrol,Automatic,First,17.1,1591.0,121.4,5.0,0
Ford,1.4 ABS Fiesta,Bangalore,2014,56000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,0
Tata,4X2 EX XT,Hyderabad,2014,10000,Diesel,Manual,First,13.49,2179.0,138.03,5.0,0
Maruti,Alto K10 VXI,Mumbai,2010,15669,Petrol,Manual,First,20.92,998.0,67.1,5.0,0
Audi,2011-2015 35 A6 Premium,Kochi,2016,55331,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,0
Renault,Duster Optional RxL,Pune,2015,44535,Diesel,Manual,First,20.46,1461.0,83.8,5.0,0
Mahindra,,Delhi,2012,74000,Diesel,Manual,First,16.55,2498.0,105.0,7.0,0
Toyota,(Diesel) 2.5 7 GX Innova Seater,Delhi,2014,77901,Diesel,Manual,First,12.99,2494.0,100.6,7.0,0
Maruti,Dzire Swift VXi,Kolkata,2010,58186,Petrol,Manual,First,17.5,1298.0,85.8,5.0,0
Chevrolet,1.6 LT,Mumbai,2010,30000,Petrol,Manual,First,14.2,1598.0,102.0,5.0,0
Toyota,Etios,Bangalore,2012,90000,Diesel,Manual,First,23.59,1364.0,,5.0,0
Jaguar,,Coimbatore,2018,14730,Petrol,Automatic,First,13.5,1999.0,246.74,5.0,1
Maruti,Alto LXi,Jaipur,2013,40000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,0
Chevrolet,1.2 LS,Chennai,2007,88107,Petrol,Manual,Second,15.26,1150.0,74.9,5.0,0
Volkswagen,1.5 Highline Vento,Delhi,2012,53226,Diesel,Manual,Second,20.64,1498.0,108.5,5.0,1
Maruti,BSIV Swift VDI,Hyderabad,2013,76000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,0
Toyota,2.5 Innova V,Hyderabad,2008,200000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,0
Mercedes-Benz,2009-2013 Avantgarde CDI E-Class E250,Hyderabad,2013,73000,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,0
Hyundai,GLE,Jaipur,2009,77200,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,0
Audi,2.0 A4 New,Delhi,2012,67000,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,0
Chevrolet,10 BSIII LS,Hyderabad,2005,150000,Diesel,Manual,Second,14.8,2499.0,80.0,10.0,0
Mahindra,ABS BS IV Xylo,Jaipur,2009,145278,Diesel,Manual,Second,11.68,2498.0,112.0,8.0,0
Hyundai,SX i20,Chennai,2015,62083,Diesel,Manual,First,21.19,1396.0,88.76,5.0,1
Honda,1.8 Civic V,Pune,2010,61696,Petrol,Manual,First,13.5,1799.0,130.0,5.0,0
Ford,1.5 EcoSport Titanium,Ahmedabad,2017,28000,Diesel,Manual,First,23.0,1498.0,98.96,5.0,1
Mercedes-Benz,220 C-Class CDI New,Coimbatore,2013,50142,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,0
Skoda,1.8 Elegance Superb TSI,Mumbai,2014,45000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,0
Skoda,1.5 Elegance Rapid,Pune,2014,97513,Diesel,Manual,First,21.14,1498.0,103.52,5.0,0
Mercedes-Benz,2009-2013 Blue E-Class Efficiency,Mumbai,2011,55000,Petrol,Automatic,Second,12.3,1796.0,185.0,5.0,0
Maruti,800 AC,Hyderabad,2004,82000,Petrol,Manual,Second,16.1,796.0,37.0,4.0,0
Maruti,Swift,Delhi,2013,71501,Diesel,Manual,First,22.9,1248.0,74.0,5.0,0
Honda,S i-DTEC,Hyderabad,2017,23000,Diesel,Manual,First,21.9,1498.0,98.6,7.0,1
Audi,2.0 2011-2015 A6,Kochi,2015,66095,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,0
Toyota,3.0 Fortuner,Mumbai,2014,49500,Diesel,Manual,First,11.5,2982.0,171.0,7.0,0
Toyota,,Chennai,2009,90000,Petrol,Manual,First,13.4,2362.0,164.7,5.0,0
Maruti,1.2,Mumbai,2017,25384,Petrol,Manual,First,20.89,1197.0,81.8,5.0,1
Hyundai,1.6 S VTVT Verna,Delhi,2016,27529,Petrol,Manual,Second,17.01,1591.0,121.3,5.0,0
Honda,City V,Kochi,2012,69297,Petrol,Manual,First,16.8,1497.0,116.3,5.0,0
Honda,1.5 City E,Hyderabad,2009,66000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,0
Mahindra,1.5 BSIV D4,Hyderabad,2012,20000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,1
Mercedes-Benz,Blue CDI Efficiency,Chennai,2015,67000,Diesel,Automatic,First,11.3,2987.0,254.8,7.0,0
Hyundai,D EON Plus,Coimbatore,2015,36933,Petrol,Manual,First,21.1,814.0,55.2,5.0,0
Toyota,(Diesel) 2.5 8 G Innova Seater,Mumbai,2007,194000,Diesel,Manual,First,12.99,2494.0,100.6,8.0,0
Maruti,Ertiga VDI,Kolkata,2013,42200,Diesel,Manual,First,20.77,1248.0,88.76,7.0,0
Audi,3.0 Plus Premium Quattro,Coimbatore,2015,53093,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,0
Honda,1.5 City E,Pune,2012,88000,Petrol,Manual,Third,17.0,1497.0,118.0,5.0,0
Maruti,Alto K10 LXI,Kochi,2017,42954,Petrol,Manual,First,24.07,998.0,67.1,5.0,1
Tata,Indica,Chennai,2015,106000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,0
BMW,2013-2017 5 520d Line Luxury Series,Kochi,2015,41700,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,0
Mercedes-Benz,220 Avantgarde C C-Class CDI New,Coimbatore,2018,34464,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,0
Chevrolet,Beat LT,Ahmedabad,2010,15000,Petrol,Manual,First,17.8,1199.0,76.8,5.0,0
Maruti,BS IV LXI,Pune,2010,70000,Petrol,Manual,Second,19.0,998.0,67.1,5.0,0
Mahindra,4WD XUV500,Hyderabad,2017,119256,Diesel,Manual,First,16.0,2179.0,140.0,7.0,0
Honda,1.5 City V,Coimbatore,2011,50036,Petrol,Manual,First,17.0,1497.0,118.0,5.0,0
Toyota,(Diesel) 2.5 7 Innova Seater VX,Ahmedabad,2013,58000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,0
Hyundai,1.2 Magna i20,Pune,2011,75000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,0
Maruti,Alto K10 VXI,Hyderabad,2013,53313,Petrol,Manual,First,20.92,998.0,67.1,5.0,0
Toyota,(Diesel) 2.5 8 G Innova Seater,Kolkata,2015,73000,Diesel,Manual,First,12.99,2494.0,100.6,8.0,0
Nissan,Micra XV,Kochi,2013,83989,Diesel,Manual,First,23.08,1461.0,63.1,5.0,0
Hyundai,1.6 CRDi Creta SX,Chennai,2015,86247,Diesel,Manual,First,19.67,1582.0,126.2,5.0,0
Toyota,(Diesel) 2.5 8 G Innova Seater,Mumbai,2016,24000,Diesel,Manual,First,12.99,2494.0,100.6,8.0,0
Mercedes-Benz,2009-2013 Blue CDI E-Class E250 Efficiency,Hyderabad,2010,58000,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,0
Hyundai,1.2 Asta i20,Kolkata,2015,33000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,0
Honda,Accord,Hyderabad,2005,100000,Petrol,Automatic,First,11.1,2354.0,142.0,5.0,0
Toyota,2.4 Innova ZX,Hyderabad,2017,65896,Diesel,Manual,First,13.68,2393.0,147.8,7.0,1
Hyundai,1.4 Asta CRDi Option i20,Chennai,2016,120000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,0
Mahindra,1.5,Mumbai,2013,26000,Diesel,Manual,First,20.8,1461.0,64.1,5.0,1
Maruti,5 AC Seater,Chennai,2012,62300,Petrol,Manual,Second,15.1,1196.0,73.0,5.0,1
Toyota,1.8 Altis Corolla G,Kochi,2012,77801,Petrol,Manual,First,14.28,1798.0,138.03,5.0,1
Toyota,Altis Corolla,Mumbai,2015,42000,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,0
Mercedes-Benz,A Class Sport,Bangalore,2013,35000,Petrol,Automatic,Second,15.5,1595.0,120.7,5.0,0
Hyundai,1.4 Asta CRDi i20,Kolkata,2016,30134,Diesel,Manual,First,22.54,1396.0,88.73,5.0,0
Honda,2.4 Accord,Delhi,2012,79038,Petrol,Manual,First,12.8,2354.0,177.6,5.0,0
Honda,2.4 Accord,Mumbai,2009,80000,Petrol,Automatic,Second,11.7,2354.0,177.6,5.0,0
Mahindra,BSIII,Hyderabad,2012,75000,Diesel,Manual,First,15.96,2523.0,62.1,7.0,0
Maruti,Ritz,Bangalore,2010,80000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,0
Skoda,1.8 Elegance Superb TSI,Delhi,2014,84419,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,0
Honda,Amaze S i-Vtech,Kolkata,2013,70200,Petrol,Manual,First,18.0,1198.0,86.7,5.0,0
Volkswagen,Highline Vento,Chennai,2013,98000,Petrol,Manual,Second,15.04,1598.0,103.6,5.0,0
Maruti,Ritz,Chennai,2016,131503,Diesel,Manual,First,23.2,1248.0,73.94,5.0,0
Honda,1.5 City S,Jaipur,2011,54652,Petrol,Manual,First,17.0,1497.0,118.0,5.0,0
Volkswagen,1.6,Mumbai,2010,92000,Petrol,Manual,Second,14.0,1595.0,102.0,5.0,0
Ford,Figo ZXI,Kolkata,2010,44287,Petrol,Manual,First,15.6,1196.0,70.0,5.0,0
Toyota,(Diesel) 2.5 7 G Innova Seater,Pune,2015,205000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,0
Hyundai,Asta Option i20,Hyderabad,2015,48000,Petrol,Manual,First,18.6,1197.0,81.86,5.0,1
Mahindra,,Mumbai,2016,18000,Diesel,Manual,First,25.32,1198.0,77.0,6.0,0
Bentley,,Bangalore,2008,31200,Petrol,Automatic,Second,10.2,5998.0,616.0,5.0,1
Honda,1.5 City V,Pune,2009,72000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,0
Hyundai,Magna i20,Mumbai,2009,85000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,0
Honda,1.5 City V,Kolkata,2010,27000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,0
Toyota,2WD Fortuner,Mumbai,2012,126000,Diesel,Manual,First,14.24,2755.0,174.5,7.0,1
Tata,BSIII Indica,Pune,2017,50000,Diesel,Manual,First,17.88,1405.0,48.21,5.0,0
Honda,Amaze S i-Vtech,Mumbai,2013,58811,Petrol,Manual,Second,18.0,1198.0,86.7,5.0,0
Volkswagen,1.2L Highline Polo,Pune,2013,52196,Diesel,Manual,First,22.07,1199.0,73.9,5.0,0
Nissan,Micra XV,Coimbatore,2017,45105,Petrol,Manual,First,19.69,1198.0,67.04,5.0,1
Hyundai,Grand Sportz i10,Hyderabad,2015,25160,Petrol,Manual,Second,18.9,1197.0,82.0,5.0,0
Tata,1.2 Option Revotron,Hyderabad,2017,18000,Petrol,Manual,First,20.3,1199.0,84.0,5.0,0
Honda,Accord L,Bangalore,2007,74000,Petrol,Manual,First,11.9,2354.0,144.0,5.0,0
Mahindra,Xylo,Chennai,2009,67700,Diesel,Manual,First,14.0,2498.0,112.0,7.0,0
Land,Edition Rover S,Kochi,2015,61062,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,0
Toyota,(Diesel) 2.5 7 Innova Seater VX,Kolkata,2016,105000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,0
Tata,BS IV,Pune,2013,155550,Diesel,Manual,First,25.0,1396.0,69.01,5.0,0
Maruti,Brezza Option VDi Vitara,Delhi,2016,66000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,0
Honda,1.5 City V,Kochi,2012,93884,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,0
Fiat,(Diesel),Mumbai,2009,200000,Diesel,Manual,First,20.4,1248.0,91.7,5.0,0
Tata,1.2 Revotron,Kolkata,2016,57200,Petrol,Manual,First,23.84,1199.0,84.0,5.0,1
Volkswagen,1.2L Comfortline Polo,Hyderabad,2013,93568,Diesel,Manual,First,22.07,1199.0,73.9,5.0,0
Maruti,BS IV R VXI Wagon,Kolkata,2014,54000,Petrol,Manual,First,20.51,998.0,67.04,5.0,0
Hyundai,1.6 CRDi Creta Plus SX,Bangalore,2016,40571,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,0
Audi,35 A4,Hyderabad,2015,59000,Diesel,Automatic,First,18.25,1968.0,187.74,5.0,1
BMW,,Coimbatore,2017,17273,Diesel,Automatic,First,20.68,1995.0,190.0,5.0,0
Ford,4x2,Mumbai,2011,100077,Diesel,Automatic,Second,11.4,2953.0,153.86,7.0,0
Hyundai,Magna i10,Kochi,2011,39934,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,0
Maruti,Brezza Vitara,Bangalore,2016,46000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1
Honda,1.5 City V,Coimbatore,2016,30842,Petrol,Manual,First,17.0,1497.0,118.0,5.0,0
Mercedes-Benz,200 C-Class New,Mumbai,2005,65000,Petrol,Automatic,Second,11.7,1796.0,178.0,5.0,0
Volvo,AWD,Bangalore,2016,70000,Diesel,Manual,First,11.1,2400.0,200.0,7.0,0
Toyota,3.0 Fortuner,Chennai,2011,150152,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,0
Nissan,,Coimbatore,2009,67038,Petrol,Automatic,First,9.1,2349.0,,5.0,0
Hyundai,GLS Santro Xing,Bangalore,2011,43985,CNG,Manual,First,16.632,1086.0,62.1,5.0,0
BMW,xDrive30d,Coimbatore,2014,58598,Diesel,Automatic,First,11.2,2993.0,241.0,4.0,0
Tata,,Pune,2016,100000,Diesel,Manual,First,25.0,1396.0,69.01,5.0,0
Audi,Plus Premium Q5,Jaipur,2016,35000,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,0
Hyundai,1.2 Sportz i10,Pune,2008,84500,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0
Maruti,1.2 Baleno,Kolkata,2018,18006,Petrol,Manual,First,21.4,1197.0,83.1,5.0,0
Maruti,Swift VDI,Hyderabad,2013,99000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,1
Maruti,5 AC Seater,Delhi,2014,51200,Petrol,Manual,First,15.1,1196.0,73.0,5.0,1
Toyota,L VX,Pune,2014,130000,Diesel,Automatic,First,11.0,2982.0,170.3,7.0,0
Hyundai,2.0 4WD GLS e-VGT,Ahmedabad,2017,25000,Diesel,Automatic,First,16.38,1995.0,182.46,5.0,1
Maruti,Baleno,Kochi,2017,32352,Petrol,Manual,First,21.4,1197.0,83.1,5.0,1
Hyundai,1.2 Sportz i10,Bangalore,2011,20000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0
Audi,2.0 A4,Bangalore,2013,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,0
Maruti,AMT Dzire Plus ZXI,Mumbai,2018,12500,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,1
Toyota,2.5 8 GX Innova,Delhi,2011,53138,Diesel,Manual,Third,12.8,2494.0,102.0,8.0,0
Maruti,Dzire Swift,Pune,2013,170000,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,0
Maruti,Swift,Kolkata,2012,38583,Diesel,Manual,First,22.9,1248.0,74.0,5.0,0
Maruti,AMT Opt R VXI Wagon,Hyderabad,2016,26000,Petrol,Automatic,First,22.5,998.0,67.0,5.0,1
Hyundai,1.6 Creta Plus SX,Coimbatore,2017,22865,Petrol,Manual,First,15.29,1591.0,121.3,5.0,0
Skoda,L Laura and,Kolkata,2013,45000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,0
Maruti,LXI Option Swift,Kochi,2017,62889,Petrol,Manual,First,20.4,1197.0,81.8,5.0,0
Maruti,BSIV MPI,Pune,2013,153000,Petrol,Manual,First,16.8,796.0,34.2,5.0,0
Maruti,Swift VDI,Ahmedabad,2016,67000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,1
Honda,Amaze S i-Vtech,Mumbai,2014,39000,Petrol,Automatic,First,15.5,1198.0,86.7,5.0,0
Toyota,Corolla,Chennai,2006,164000,Petrol,Manual,Second,13.4,1794.0,125.0,5.0,0
Maruti,BSIV Dzire Swift Vdi,Coimbatore,2018,57178,Diesel,Manual,First,19.3,1248.0,73.9,5.0,0
Audi,2.0 2011-2015 A6 Plus Premium,Delhi,2013,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,0
Chevrolet,1.0 LT,Mumbai,2007,40000,Petrol,Manual,First,18.0,995.0,62.0,5.0,0
Hyundai,ABS CRDi Verna,Mumbai,2007,89564,Diesel,Manual,Third,18.1,1493.0,110.0,5.0,0
Maruti,Ertiga VXI,Delhi,2012,66727,Petrol,Manual,First,16.02,1373.0,93.7,7.0,0
Audi,2.0 Plus Premium Q3 Quattro,Mumbai,2013,75000,Diesel,Automatic,Second,15.73,1968.0,174.33,5.0,0
Chevrolet,LTZ,Coimbatore,2017,31056,Diesel,Automatic,First,14.81,1998.0,163.7,5.0,0
Volkswagen,Highline Vento,Pune,2011,61000,Petrol,Manual,First,15.04,1598.0,103.6,5.0,0
Hyundai,1.2 Kappa Option SX Xcent,Kochi,2016,34782,Petrol,Automatic,First,16.9,1197.0,82.0,5.0,0
Hyundai,1.2 Sportz i10,Coimbatore,2012,31736,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0
Nissan,D XV,Pune,2014,75000,Diesel,Manual,First,19.64,1461.0,108.5,5.0,1
Mahindra,AC,Mumbai,2014,15000,Diesel,Manual,First,16.55,2498.0,105.0,6.0,0
Ford,1.5 Ambiente DV5 Ecosport,Coimbatore,2016,38503,Diesel,Manual,First,22.7,1498.0,89.84,5.0,0
Honda,V i-DTEC,Coimbatore,2017,45353,Diesel,Manual,First,21.9,1498.0,98.6,7.0,1
Land,Rover,Hyderabad,2015,30000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,0
Toyota,Etios G,Pune,2011,69470,Petrol,Manual,Second,17.6,1496.0,88.73,5.0,0
Nissan,,Chennai,2008,63288,Petrol,Automatic,First,9.1,2349.0,,5.0,0
Volkswagen,1.2 MPI Polo,Coimbatore,2017,25087,Petrol,Manual,First,16.47,1198.0,74.0,5.0,0
Toyota,(Diesel) 2.5 7 BS IV Innova Seater VX,Hyderabad,2015,134000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,0
Chevrolet,LTZ,Coimbatore,2015,54955,Diesel,Automatic,Third,14.81,1998.0,163.7,5.0,0
Hyundai,1.6 CRDi Option SX Verna,Mumbai,2017,28000,Diesel,Manual,First,22.0,1582.0,126.2,5.0,1
Honda,Amaze S,Ahmedabad,2015,45250,Diesel,Manual,First,25.8,1498.0,98.6,5.0,0
Land,4 Rover SDV6,Kochi,2012,89190,Diesel,Automatic,Second,11.4,2993.0,245.41,7.0,0
Honda,City Option VX i,Coimbatore,2017,48184,Diesel,Manual,First,26.0,1498.0,98.6,5.0,0
Maruti,Dzire Swift VDI,Kolkata,2015,42125,Diesel,Manual,First,26.59,1248.0,74.0,5.0,0
Nissan,CVT Micra XV,Coimbatore,2017,47052,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,1
Hyundai,1.2 Sportz i10,Mumbai,2011,67000,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,0
Hyundai,GLS I Santro,Bangalore,2011,43189,Petrol,Manual,First,0.0,999.0,,5.0,0
Maruti,Dzire Swift VDI,Pune,2015,174889,Diesel,Manual,First,26.59,1248.0,74.0,5.0,0
Maruti,Alto LXI,Pune,2004,72135,Petrol,Manual,First,19.7,796.0,46.3,5.0,0
Maruti,Brezza Plus Vitara ZDi,Delhi,2017,17660,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1
Honda,2.4 Accord,Pune,2009,120000,Petrol,Automatic,First,11.7,2354.0,177.6,5.0,0
Chevrolet,Beat LT,Pune,2010,29629,Petrol,Manual,First,18.6,1199.0,76.8,5.0,0
Maruti,ABS BSIV Swift VDI W,Coimbatore,2016,69564,Diesel,Manual,First,17.8,1248.0,,5.0,0
Mercedes-Benz,Sport,Kochi,2017,34848,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,1
Mahindra,BSIV D4 Xylo,Kolkata,2013,61000,Diesel,Manual,First,14.0,2498.0,112.0,8.0,0
Datsun,Plus T,Mumbai,2015,21000,Petrol,Manual,First,19.83,1198.0,67.0,7.0,1
Jaguar,Luxury,Kochi,2015,27912,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,0
Maruti,SX4 VDI,Kochi,2013,62909,Diesel,Manual,First,21.5,1248.0,88.8,5.0,0
Maruti,Celerio VXI,Kochi,2018,33140,Petrol,Manual,First,23.1,998.0,67.04,5.0,0
Volkswagen,1.5 Comfortline Vento,Hyderabad,2014,75000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,0
Ford,1.5 EcoSport Titanium,Kochi,2017,25571,Diesel,Manual,First,22.77,1498.0,98.59,5.0,0
Hyundai,I LS Santro,Chennai,2002,120000,Petrol,Manual,Fourth & Above,0.0,999.0,,5.0,0
Maruti,Ertiga VDI,Kolkata,2016,12020,Diesel,Manual,First,20.77,1248.0,88.76,7.0,0
Honda,Brio VX,Mumbai,2014,36665,Petrol,Automatic,First,16.5,1198.0,86.8,5.0,0
Mitsubishi,4X2 Pajero Sport,Coimbatore,2018,41502,Diesel,Automatic,First,13.5,2477.0,175.56,7.0,1
Mercedes-Benz,2009-2013 Blue CDI E-Class E250 Efficiency,Pune,2011,130000,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,0
Maruti,Optional Swift VDI,Bangalore,2017,51000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,0
Hyundai,GLE,Pune,2008,103000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,0
Audi,2.0 A4,Delhi,2012,70000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,0
Honda,1.5 City S,Delhi,2010,56239,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,0
BMW,3 Series Sport,Ahmedabad,2016,40000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,0
Renault,1.0 AMT,Kochi,2018,19964,Petrol,Automatic,First,22.5,999.0,67.0,5.0,1
Mahindra,,Coimbatore,2012,72246,Diesel,Manual,First,13.6,2523.0,63.0,7.0,0
Hyundai,1.6 Creta SX,Kolkata,2018,15000,Diesel,Manual,First,20.5,1582.0,126.2,5.0,1
Tata,XT,Bangalore,2016,14000,Petrol,Manual,Fourth & Above,23.9,624.0,37.48,4.0,0
Volkswagen,1.2 Highline MPI Polo,Pune,2016,22764,Petrol,Manual,First,16.2,1199.0,74.0,5.0,0
Volkswagen,2.0 Highline,Pune,2012,65000,Diesel,Automatic,First,18.33,1968.0,167.7,5.0,0
Isuzu,4x2 7,Kolkata,2016,45000,Diesel,Manual,First,12.08,2999.0,161.0,7.0,0
Mercedes-Benz,2015-2017 Avantgarde CDI E-Class E250,Coimbatore,2017,32090,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,0
Mahindra,2WD XUV500,Pune,2014,83000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,0
Mercedes-Benz,2015-2017 Avantgarde CDI E-Class E250,Delhi,2011,70000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,0
Mahindra,2WD XUV500,Chennai,2013,68000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,0
Nissan,2011-2014 XL,Jaipur,2012,105000,Petrol,Manual,First,16.95,1498.0,97.7,5.0,0
Hyundai,Elantra GT,Hyderabad,2006,88000,Petrol,Manual,First,13.0,1795.0,127.0,5.0,0
Honda,Accord,Mumbai,2007,93000,Petrol,Automatic,Second,11.1,2354.0,142.0,5.0,0
Honda,City DTEC SV i,Delhi,2014,107000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,0
Toyota,Fortuner,Pune,2011,141844,Diesel,Manual,First,12.55,2982.0,168.5,7.0,0
Nissan,CVT Micra XV,Coimbatore,2015,32469,Petrol,Automatic,First,19.34,1198.0,76.0,5.0,0
Mahindra,2WD XUV500,Kochi,2015,56318,Diesel,Manual,First,15.1,2179.0,140.0,7.0,0
Mini,3 D,Coimbatore,2017,26002,Diesel,Automatic,First,20.7,1496.0,113.98,4.0,1
Maruti,BSIV Swift VDI,Pune,2014,83000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,0
Chevrolet,Beat LS,Pune,2010,80000,Petrol,Manual,Second,18.6,1199.0,79.4,5.0,0
Maruti,1.2 Alpha Baleno,Chennai,2016,56474,Petrol,Manual,Second,21.4,1197.0,83.1,5.0,0
Mercedes-Benz,Class Sport,Mumbai,2012,26000,Petrol,Automatic,Second,14.8,1595.0,120.69,5.0,1
Audi,2.0 Q5 Quattro,Mumbai,2009,49000,Petrol,Automatic,Second,9.74,1984.0,208.0,5.0,0
Skoda,Ambiente Laura,Kochi,2010,64132,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,0
Hyundai,1.6 CRDi Creta Option SX,Hyderabad,2016,41810,Diesel,Manual,First,19.67,1582.0,126.2,5.0,0
BMW,7 Series,Mumbai,2013,60000,Diesel,Automatic,First,16.46,2993.0,258.0,5.0,0
Mercedes-Benz,,Coimbatore,2016,22177,Diesel,Automatic,First,0.0,2987.0,165.0,5.0,0
Ford,Figo ZXI,Chennai,2014,100000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,0
Skoda,2.0 Ambiente CR Laura,Pune,2012,75000,Diesel,Automatic,First,20.0,1968.0,138.1,5.0,0
Hyundai,1.4 CRDi Magna i20,Mumbai,2011,68000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,0
Toyota,(Diesel) 2.5 7 G Innova Seater,Kochi,2016,43518,Diesel,Manual,First,12.99,2494.0,100.0,7.0,0
Maruti,Vxi,Pune,2012,39100,Petrol,Automatic,First,16.98,998.0,66.1,5.0,0
Hyundai,1.6 VTVT Verna,Delhi,2011,58000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,0
Honda,1.5 City E,Mumbai,2010,52000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,0
BMW,3 Series,Jaipur,2014,80000,Diesel,Automatic,First,13.2,1995.0,170.0,5.0,0
Maruti,BSIII VXI,Jaipur,2006,96000,Petrol,Manual,Second,18.2,998.0,67.1,5.0,0
Skoda,1.8 Elegance Superb TSI,Delhi,2010,63000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,0
Audi,35 Premium Q3 Quattro,Hyderabad,2014,50000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,0
Hyundai,D EON Plus,Hyderabad,2014,15322,Petrol,Manual,First,21.1,814.0,55.2,5.0,0
Honda,Brio E,Jaipur,2012,47000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,0
Volkswagen,Highline Vento,Chennai,2011,76041,Diesel,Manual,First,20.54,1598.0,103.6,5.0,0
Hyundai,GLE,Kolkata,2009,46000,Petrol,Manual,First,13.2,1495.0,94.0,5.0,0
Mahindra,,Jaipur,2013,160000,Diesel,Manual,Second,15.96,2523.0,62.1,7.0,1
